Parent Genre,Genre / Subgenre,Level,BPM Min,BPM Max,Typical BPM,Common Keys,Camelot,Drum Feel,DJ Set Placement,Energy (1-10),Mixes Well With,Transition Tip,Sound Colour FX,Beat FX,Transition Loop (bars),Beat FX Setting (beat),Beat FX Depth (%),Mix-In / Mix-Out,Vocal Density / Layerability,Double-Drop / Mashup,Blend Length (bars),Intro (bars),Intro Feel,Build (bars),Build Feel,Drop/Main (bars),Drop/Main Feel,Breakdown (bars),Breakdown Feel,Outro (bars),Outro Feel,Typical Length,Phrasing,Track Structure,Origin,Era,Sound Signature,Sound Design / Instrumentation,Drum Programming,Harmony Approach,Production Techniques,Scale / Mode,Chord Progression,Essential Synths / Plugins,Mix / Master Targets,Representative Artists,Landmark Track,Key Labels,Peak / Momentum (yrs),Fuses Into / Related,Notes,Top Track 1,Top Track 2,Top Track 3,Top Track 4,Top Track 5
Techno (Raw / Deep / Hypnotic),Deep / Hypnotic Techno,Subgenre,125,132,125-132,"Minor/modal, dub chords","8A, 6A, 5A",,,6,"Peak-Time Techno, Minimal/Deep Tech, Dub Techno","Very long hypnotic blend, swap on the kick","Dub Echo + Space + Filter - dubby, hypnotic textures","Echo, Reverb & Spiral for deep, evolving tails","16 bars, long blend",Echo 1/1-2/1; Reverb,"30-50%, dubby",In/Out: anywhere in the loop - very forgiving,"Low - tool-like, safe to layer","Low - hypnotic blend, not drops",32-64 bars,32,Hypnotic loop sets in - meditative,-,"Subtle layering, slow-burn tension",32,"Deep hypnotic trance-state - dubby, immersive",16,Dub chords/space suspend the groove,32,Slowly dissolves for mix,7-9 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,,,"Immersive, dubby, meditative techno for headspace and afterhours","Dub chords, deep sub, granular & field-recording textures","Stripped 4/4, dubby hats, sparse perc - space over density","Modal/minor dub chords, hypnotic repetition","Long delays/reverb, tape echo, subtractive minimalism, evolving filters","Modal / natural minor, dub",Static dub chord / minor drone,"Modular, Diva, tape echo; Serum",Dynamic-ish master ~-8 LUFS; dubby space; mono sub,Donato Dozzy,,,,Techno (Raw/Deep),,,,,,
Techno (Raw / Deep / Hypnotic),Raw Techno,Subgenre,130,140,130-140,"Minor/modal, dub chords","8A, 6A, 5A",,,6,"Peak-Time Techno, Minimal/Deep Tech, Dub Techno","Very long hypnotic blend, swap on the kick","Dub Echo + Space + Filter - dubby, hypnotic textures","Echo, Reverb & Spiral for deep, evolving tails","16 bars, long blend",Echo 1/1-2/1; Reverb,"30-50%, dubby",In/Out: anywhere in the loop - very forgiving,"Low - tool-like, safe to layer","Low - hypnotic blend, not drops",32-64 bars,32,Hypnotic loop sets in - meditative,-,"Subtle layering, slow-burn tension",32,"Deep hypnotic trance-state - dubby, immersive",16,Dub chords/space suspend the groove,32,Slowly dissolves for mix,7-9 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,,,"Gritty, distorted, stripped-back techno with a rough analog edge","Dub chords, deep sub, granular & field-recording textures","Stripped 4/4, dubby hats, sparse perc - space over density","Modal/minor dub chords, hypnotic repetition","Long delays/reverb, tape echo, subtractive minimalism, evolving filters","Modal / natural minor, dub",Static dub chord / minor drone,"Modular, Diva, tape echo; Serum",Dynamic-ish master ~-8 LUFS; dubby space; mono sub,,,,,"Techno, Hard Techno",,,,,,
Techno (Raw / Deep / Hypnotic),EBM,Subgenre,120,140,120-140,"Minor/modal, dub chords","8A, 6A, 5A",,,6,"Peak-Time Techno, Minimal/Deep Tech, Dub Techno","Very long hypnotic blend, swap on the kick","Dub Echo + Space + Filter - dubby, hypnotic textures","Echo, Reverb & Spiral for deep, evolving tails","16 bars, long blend",Echo 1/1-2/1; Reverb,"30-50%, dubby",In/Out: anywhere in the loop - very forgiving,"Low - tool-like, safe to layer","Low - hypnotic blend, not drops",32-64 bars,32,Hypnotic loop sets in - meditative,-,"Subtle layering, slow-burn tension",32,"Deep hypnotic trance-state - dubby, immersive",16,Dub chords/space suspend the groove,32,Slowly dissolves for mix,7-9 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,,,"Electronic body music - punchy, mechanical, industrial dance","Dub chords, deep sub, granular & field-recording textures","Stripped 4/4, dubby hats, sparse perc - space over density","Modal/minor dub chords, hypnotic repetition","Long delays/reverb, tape echo, subtractive minimalism, evolving filters","Modal / natural minor, dub",Static dub chord / minor drone,"Modular, Diva, tape echo; Serum",Dynamic-ish master ~-8 LUFS; dubby space; mono sub,Nitzer Ebb,,,,"Techno, Industrial",Electronic body music,,,,,
Techno (Raw / Deep / Hypnotic),Dub Techno,Subgenre,120,130,120-130,"Minor/modal, dub chords","8A, 6A, 5A",Four-on-the-floor,Afterhours,6,"Peak-Time Techno, Minimal/Deep Tech, Dub Techno","Very long hypnotic blend, swap on the kick","Dub Echo + Space + Filter - dubby, hypnotic textures","Echo, Reverb & Spiral for deep, evolving tails","16 bars, long blend",Echo 1/1-2/1; Reverb,"30-50%, dubby",In/Out: anywhere in the loop - very forgiving,"Low - tool-like, safe to layer","Low - hypnotic blend, not drops",32-64 bars,32,Hypnotic loop sets in - meditative,-,"Subtle layering, slow-burn tension",32,"Deep hypnotic trance-state - dubby, immersive",16,Dub chords/space suspend the groove,32,Slowly dissolves for mix,7-9 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,Berlin,1990s,"Echoing dub chords, deep hypnotic space","Dub chords, deep sub, granular & field-recording textures","Stripped 4/4, dubby hats, sparse perc - space over density","Modal/minor dub chords, hypnotic repetition","Long delays/reverb, tape echo, subtractive minimalism, evolving filters","Modal / natural minor, dub",Static dub chord / minor drone,"Modular, Diva, tape echo; Serum",Dynamic-ish master ~-8 LUFS; dubby space; mono sub,"Basic Channel, Deepchord",,Basic Channel,1994-present (niche),Techno (Raw/Deep),,,,,,
Techno (Raw / Deep / Hypnotic),Broken Techno,Subgenre,125,135,125-135,"Minor/modal, dub chords","8A, 6A, 5A",,,6,"Peak-Time Techno, Minimal/Deep Tech, Dub Techno","Very long hypnotic blend, swap on the kick","Dub Echo + Space + Filter - dubby, hypnotic textures","Echo, Reverb & Spiral for deep, evolving tails","16 bars, long blend",Echo 1/1-2/1; Reverb,"30-50%, dubby",In/Out: anywhere in the loop - very forgiving,"Low - tool-like, safe to layer","Low - hypnotic blend, not drops",32-64 bars,32,Hypnotic loop sets in - meditative,-,"Subtle layering, slow-burn tension",32,"Deep hypnotic trance-state - dubby, immersive",16,Dub chords/space suspend the groove,32,Slowly dissolves for mix,7-9 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,,,Techno built on broken/breakbeat rhythms rather than straight 4/4,"Dub chords, deep sub, granular & field-recording textures","Stripped 4/4, dubby hats, sparse perc - space over density","Modal/minor dub chords, hypnotic repetition","Long delays/reverb, tape echo, subtractive minimalism, evolving filters","Modal / natural minor, dub",Static dub chord / minor drone,"Modular, Diva, tape echo; Serum",Dynamic-ish master ~-8 LUFS; dubby space; mono sub,,,,,"Techno, Breaks",,,,,,
Techno (Raw / Deep / Hypnotic),Minimal Techno,Subgenre,125,130,125-130,"Minor/modal, dub chords","8A, 6A, 5A",Four-on-the-floor,Afterhours,6,"Peak-Time Techno, Minimal/Deep Tech, Dub Techno","Very long hypnotic blend, swap on the kick","Dub Echo + Space + Filter - dubby, hypnotic textures","Echo, Reverb & Spiral for deep, evolving tails","16 bars, long blend",Echo 1/1-2/1; Reverb,"30-50%, dubby",In/Out: anywhere in the loop - very forgiving,"Low - tool-like, safe to layer","Low - hypnotic blend, not drops",32-64 bars,32,Sparse rolling groove in,-,"Micro-tension, subtle bass shifts",32,"Rolling deep pocket - groovy, understated hypnosis",16,"Bass drops, micro-detail suspense",32,Strips to loop for mix,7-9 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,Germany,1990s,"Reduced, repetitive, micro-detail groove","Dub chords, deep sub, granular & field-recording textures","Stripped 4/4, dubby hats, sparse perc - space over density","Modal/minor dub chords, hypnotic repetition","Long delays/reverb, tape echo, subtractive minimalism, evolving filters","Modal / natural minor, dub",Static dub chord / minor drone,"Modular, Diva, tape echo; Serum",Dynamic-ish master ~-8 LUFS; dubby space; mono sub,"Richie Hawtin, Robert Hood",,"Plus 8, M-nus",1998-present,Minimal/Deep Tech,,,,,,
Techno (Raw / Deep / Hypnotic),Industrial Techno,Subgenre,130,140,130-140,"Minor/modal, dub chords","8A, 6A, 5A",Four-on-the-floor,Peak,6,"Peak-Time Techno, Minimal/Deep Tech, Dub Techno","Very long hypnotic blend, swap on the kick","Dub Echo + Space + Filter - dubby, hypnotic textures","Echo, Reverb & Spiral for deep, evolving tails","16 bars, long blend",Echo 1/1-2/1; Reverb,"30-50%, dubby",In/Out: anywhere in the loop - very forgiving,"Low - tool-like, safe to layer","Low - hypnotic blend, not drops",32-64 bars,32,Hypnotic loop sets in - meditative,-,"Subtle layering, slow-burn tension",32,"Deep hypnotic trance-state - dubby, immersive",16,Dub chords/space suspend the groove,32,Slowly dissolves for mix,7-9 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,Europe,2010s,"Harsh, noisy, distorted metallic techno","Dub chords, deep sub, granular & field-recording textures","Stripped 4/4, dubby hats, sparse perc - space over density","Modal/minor dub chords, hypnotic repetition","Long delays/reverb, tape echo, subtractive minimalism, evolving filters","Modal / natural minor, dub",Static dub chord / minor drone,"Modular, Diva, tape echo; Serum",Dynamic-ish master ~-8 LUFS; dubby space; mono sub,"Perc, Ansome",,Perc Trax,surging 2016-present,Hard Techno,,,,,,
Techno (Raw / Deep / Hypnotic),Detroit Techno,Subgenre,125,135,125-135,"Minor/modal, dub chords","8A, 6A, 5A",Four-on-the-floor,Peak,6,"Peak-Time Techno, Minimal/Deep Tech, Dub Techno","Very long hypnotic blend, swap on the kick","Dub Echo + Space + Filter - dubby, hypnotic textures","Echo, Reverb & Spiral for deep, evolving tails","16 bars, long blend",Echo 1/1-2/1; Reverb,"30-50%, dubby",In/Out: anywhere in the loop - very forgiving,"Low - tool-like, safe to layer","Low - hypnotic blend, not drops",32-64 bars,32,Hypnotic loop sets in - meditative,-,"Subtle layering, slow-burn tension",32,"Deep hypnotic trance-state - dubby, immersive",16,Dub chords/space suspend the groove,32,Slowly dissolves for mix,7-9 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,"Detroit, USA",late 1980s,"Soulful, futuristic original techno","Dub chords, deep sub, granular & field-recording textures","Stripped 4/4, dubby hats, sparse perc - space over density","Modal/minor dub chords, hypnotic repetition","Long delays/reverb, tape echo, subtractive minimalism, evolving filters","Modal / natural minor, dub",Static dub chord / minor drone,"Modular, Diva, tape echo; Serum",Dynamic-ish master ~-8 LUFS; dubby space; mono sub,"Juan Atkins, Derrick May",,"Transmat, Metroplex",1987-present,Techno,,,,,,
Techno (Raw / Deep / Hypnotic),Acid Techno,Subgenre,130,140,130-140,"Minor/modal, dub chords","8A, 6A, 5A",Four-on-the-floor,Peak,6,"Peak-Time Techno, Minimal/Deep Tech, Dub Techno","Very long hypnotic blend, swap on the kick","Dub Echo + Space + Filter - dubby, hypnotic textures","Echo, Reverb & Spiral for deep, evolving tails","16 bars, long blend",Echo 1/1-2/1; Reverb,"30-50%, dubby",In/Out: anywhere in the loop - very forgiving,"Low - tool-like, safe to layer","Low - hypnotic blend, not drops",32-64 bars,32,Hypnotic loop sets in - meditative,-,"Subtle layering, slow-burn tension",32,"Deep hypnotic trance-state - dubby, immersive",16,Dub chords/space suspend the groove,32,Slowly dissolves for mix,7-9 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,UK/USA,1990s,Squelching TB-303 acid lines,"Dub chords, deep sub, granular & field-recording textures","Stripped 4/4, dubby hats, sparse perc - space over density","Modal/minor dub chords, hypnotic repetition","Long delays/reverb, tape echo, subtractive minimalism, evolving filters","Modal / natural minor, dub",Static dub chord / minor drone,"Modular, Diva, tape echo; Serum",Dynamic-ish master ~-8 LUFS; dubby space; mono sub,Chris Liberator,,,1993-present,"Techno, Acid House",,,,,,
Trance (Main Floor),Trance (Main Floor),Genre,132,140,132-140,Minor (A/F#/E min),"8A, 11A, 9A",Four-on-the-floor,Peak/Festival,7,"Progressive House, Psy-Trance, Uplifting Trance","Blend in the breakdown, drop-swap on beat return","Filter + Noise - noise sweeps for the build, filter in breakdowns","Reverb & Ping-Pong wash the breakdown; Echo, Flanger for lift",8-16 bars (blend in the breakdown),Reverb; Echo 1/1; Ping-Pong 3/4,40-70% washes,In: 16-32 bar intro. Out: use the breakdown to blend - don't leave too early,High - vocal-led; avoid stacking two vocals,Med - align on the drop after the breakdown,32 bars,32,"Rhythmic, building anticipation",16,"Energy climbing - arps layer, pulse quickens",32,"Driving euphoria - full kick+bass, hands-up",32,"Emotional peak - beatless melodic swell, goosebumps, big release",32,"Gentle wind-down, beats thin for mix",7-9 min,32-bar,Intro (16-32 bars) -> energy build -> large melodic breakdown -> climax/drop -> reprise -> outro.,Germany,early 1990s,"Euphoric arps, big breakdowns, emotive leads","Supersaw leads, plucky arps, huge pads, rolling offbeat bass","Driving 4/4 kick, offbeat bass & open hats, snare rolls in builds","Emotional minor progressions, arpeggiated chords, key changes","Sidechained pads, huge reverb breakdowns, gated/rolling bass, riser FX",Natural minor; harmonic minor for tension,i-VI-III-VII minor anthem,"Sylenth1 & Spire supersaws, Virus; Sylenth1",Master ~-7 to -8 LUFS; huge reverb tails; mono sub,"Armin van Buuren, Above & Beyond",Armin van Buuren - Communication,"Armada, Anjunabeats",peak 2004-12; steady,Uplifting/Vocal Trance,,Sandstorm - Darude (1999),For an Angel - Paul van Dyk (1998),Adagio for Strings - Tiësto (2004),Silence (Tiësto rmx) - Delerium ft Sarah McLachlan (2000),Communication - Armin van Buuren (2000)
Trance (Main Floor),Progressive Trance,Subgenre,130,136,130-136,Minor (A/F#/E min),"8A, 11A, 9A",,,7,"Progressive House, Psy-Trance, Uplifting Trance","Blend in the breakdown, drop-swap on beat return","Filter + Noise - noise sweeps for the build, filter in breakdowns","Reverb & Ping-Pong wash the breakdown; Echo, Flanger for lift",8-16 bars (blend in the breakdown),Reverb; Echo 1/1; Ping-Pong 3/4,40-70% washes,In: 16-32 bar intro. Out: use the breakdown to blend - don't leave too early,High - vocal-led; avoid stacking two vocals,Med - align on the drop after the breakdown,32 bars,32,"Rhythmic, building anticipation",16,"Energy climbing - arps layer, pulse quickens",32,"Driving euphoria - full kick+bass, hands-up",32,"Emotional peak - beatless melodic swell, goosebumps, big release",32,"Gentle wind-down, beats thin for mix",7-9 min,32-bar,Intro (16-32 bars) -> energy build -> large melodic breakdown -> climax/drop -> reprise -> outro.,,,"Smoother, groove-led trance - subtle builds, hypnotic melodies","Supersaw leads, plucky arps, huge pads, rolling offbeat bass","Driving 4/4 kick, offbeat bass & open hats, snare rolls in builds","Emotional minor progressions, arpeggiated chords, key changes","Sidechained pads, huge reverb breakdowns, gated/rolling bass, riser FX",Natural minor; harmonic minor for tension,i-VI-III-VII minor anthem,"Sylenth1 & Spire supersaws, Virus; Sylenth1",Master ~-7 to -8 LUFS; huge reverb tails; mono sub,,,,,Trance,,,,,,
Trance (Main Floor),Tech Trance,Subgenre,134,140,134-140,Minor (A/F#/E min),"8A, 11A, 9A",,,7,"Progressive House, Psy-Trance, Uplifting Trance","Blend in the breakdown, drop-swap on beat return","Filter + Noise - noise sweeps for the build, filter in breakdowns","Reverb & Ping-Pong wash the breakdown; Echo, Flanger for lift",8-16 bars (blend in the breakdown),Reverb; Echo 1/1; Ping-Pong 3/4,40-70% washes,In: 16-32 bar intro. Out: use the breakdown to blend - don't leave too early,High - vocal-led; avoid stacking two vocals,Med - align on the drop after the breakdown,32 bars,32,"Rhythmic, building anticipation",16,"Energy climbing - arps layer, pulse quickens",32,"Driving euphoria - full kick+bass, hands-up",32,"Emotional peak - beatless melodic swell, goosebumps, big release",32,"Gentle wind-down, beats thin for mix",7-9 min,32-bar,Intro (16-32 bars) -> energy build -> large melodic breakdown -> climax/drop -> reprise -> outro.,,,"Harder, techno-influenced trance - driving, dark, energetic","Driving supersaws, techno stabs, rolling bass","Hard driving 4/4, offbeat bass, tight hats","Dark minor, energetic riffs","Distorted stabs, rolling bass, big builds, loud mix",Natural minor; harmonic minor for tension,i-VI-III-VII minor anthem,"Sylenth1 & Spire supersaws, Virus; Sylenth1",Master ~-7 to -8 LUFS; huge reverb tails; mono sub,,,,,"Trance, Techno",,,,,,
Trance (Main Floor),Hard Trance,Subgenre,140,150,140-150,Minor (A/F#/E min),"8A, 11A, 9A",,,7,"Progressive House, Psy-Trance, Uplifting Trance","Blend in the breakdown, drop-swap on beat return","Filter + Noise - noise sweeps for the build, filter in breakdowns","Reverb & Ping-Pong wash the breakdown; Echo, Flanger for lift",8-16 bars (blend in the breakdown),Reverb; Echo 1/1; Ping-Pong 3/4,40-70% washes,In: 16-32 bar intro. Out: use the breakdown to blend - don't leave too early,High - vocal-led; avoid stacking two vocals,Med - align on the drop after the breakdown,32 bars,32,"Rhythmic, building anticipation",16,"Energy climbing - arps layer, pulse quickens",32,"Driving euphoria - full kick+bass, hands-up",32,"Emotional peak - beatless melodic swell, goosebumps, big release",32,"Gentle wind-down, beats thin for mix",7-9 min,32-bar,Intro (16-32 bars) -> energy build -> large melodic breakdown -> climax/drop -> reprise -> outro.,,,"Fast, hard-hitting trance with pounding kicks and rave stabs","Supersaw leads, plucky arps, huge pads, rolling offbeat bass","Driving 4/4 kick, offbeat bass & open hats, snare rolls in builds","Emotional minor progressions, arpeggiated chords, key changes","Sidechained pads, huge reverb breakdowns, gated/rolling bass, riser FX",Natural minor; harmonic minor for tension,i-VI-III-VII minor anthem,"Sylenth1 & Spire supersaws, Virus; Sylenth1",Master ~-7 to -8 LUFS; huge reverb tails; mono sub,,,,,"Trance, Hard Dance",,,,,,
Trance (Main Floor),Uplifting Trance,Subgenre,136,142,136-142,Minor (A/F# min),"8A, 11A",Four-on-the-floor,Peak,7,"Progressive House, Psy-Trance, Uplifting Trance","Blend in the breakdown, drop-swap on beat return","Filter + Noise - noise sweeps for the build, filter in breakdowns","Reverb & Ping-Pong wash the breakdown; Echo, Flanger for lift",8-16 bars (blend in the breakdown),Reverb; Echo 1/1; Ping-Pong 3/4,40-70% washes,In: intro. Out: through the breakdown,High - big vocals; avoid two vocals,Med - align on the drop,32 bars,32,"Rhythmic, building anticipation",16,"Energy climbing - arps layer, pulse quickens",32,"Driving euphoria - full kick+bass, hands-up",32,"Emotional peak - beatless melodic swell, goosebumps, big release",32,"Gentle wind-down, beats thin for mix",7-9 min,32-bar,Intro (16-32 bars) -> energy build -> large melodic breakdown -> climax/drop -> reprise -> outro.,Europe,2000s,"Euphoric supersaw leads, big emotional breakdowns","Supersaw leads, plucky arps, huge pads, rolling offbeat bass","Driving 4/4 kick, offbeat bass & open hats, snare rolls in builds","Emotional minor progressions, arpeggiated chords, key changes","Sidechained pads, huge reverb breakdowns, gated/rolling bass, riser FX",Natural minor; harmonic minor for tension,i-VI-III-VII minor anthem,"Sylenth1 & Spire supersaws, Virus; Sylenth1",Master ~-7 to -8 LUFS; huge reverb tails; mono sub,"Aly & Fila, Paul van Dyk",,FSOE,2004-present,Vocal Trance,,,,,,
Trance (Main Floor),Vocal Trance,Subgenre,132,140,132-140,Minor (A/F# min),"8A, 11A",Four-on-the-floor,Peak,7,"Progressive House, Psy-Trance, Uplifting Trance","Blend in the breakdown, drop-swap on beat return","Filter + Noise - noise sweeps for the build, filter in breakdowns","Reverb & Ping-Pong wash the breakdown; Echo, Flanger for lift",8-16 bars (blend in the breakdown),Reverb; Echo 1/1; Ping-Pong 3/4,40-70% washes,In: intro. Out: use the breakdown - don't leave early,High - full vocals; never stack two,Med - align on the drop,32 bars,32,"Rhythmic, building anticipation",16,"Energy climbing - arps layer, pulse quickens",32,"Driving euphoria - full kick+bass, hands-up",32,"Emotional peak - beatless melodic swell, goosebumps, big release",32,"Gentle wind-down, beats thin for mix",6-8 min,32-bar,Intro (16-32 bars) -> energy build -> large melodic breakdown -> climax/drop -> reprise -> outro.,Europe,2000s,Full song vocals over trance production,"Supersaw leads, plucky arps, huge pads, rolling offbeat bass","Driving 4/4 kick, offbeat bass & open hats, snare rolls in builds","Emotional minor progressions, arpeggiated chords, key changes","Sidechained pads, huge reverb breakdowns, gated/rolling bass, riser FX",Natural minor; harmonic minor for tension,i-VI-III-VII minor anthem,"Sylenth1 & Spire supersaws, Virus; Sylenth1",Master ~-7 to -8 LUFS; huge reverb tails; mono sub,"Above & Beyond, Dash Berlin",,Anjunabeats,2003-present,Uplifting Trance,,,,,,
Trance (Raw / Deep / Hypnotic),Trance (Raw / Deep / Hypnotic),Genre,130,138,130-138,Minor (A/F# min),"8A, 11A",Four-on-the-floor,Afterhours,6,"Progressive House, Melodic Techno, Main-Floor Trance","Long blend, swap on the kick","Filter + Space - subtle, hypnotic movement","Echo, Reverb & Ping-Pong for long hypnotic tails","16 bars, hypnotic",Echo 1/1-2/1; Reverb,30-60%,In: intro. Out: breakdown or long outro,Med - some vocals; check,Low-Med - align on the drop,32 bars,32,"Functional beat/perc tool - steady, made to mix in",16,"Tension rising - added perc, filter sweep, anticipation",32,"Full groove locked - peak drive, hypnotic, floor engaged",16,"Stripped & suspended - bass out, atmosphere/tension holds",32,Winding down - elements strip back for the next mix,7-9 min,32-bar,"Intro (32 bars) -> hypnotic build -> subtle breakdown -> extended peak -> outro. Minimal, no big drop.",Europe,2010s revival,"Stripped, hypnotic trance; 90s revival sound","Deep supersaws, hypnotic plucks, modular pads, rolling bass","Stripped driving 4/4, offbeat bass, tight hats","Hypnotic minor riffs, subtle emotive melody","Long automation, dubby delays, restrained breakdowns, 90s-revival tone",Natural minor,Hypnotic i-VII vamp,"Juno, Virus, delays; Serum",Master ~-8 LUFS; long delays; mono sub,"Kimball Collins, Nadja Lind",,,revival 2020-present,"Techno, Progressive Trance",,Xpander - Sasha (1999),Seven Cities - Solarstone (1999),Saltwater - Chicane (1999),Gouryella - Gouryella (1999),Silence (Tiesto Remix) - Delerium (2000)
Trance (Raw / Deep / Hypnotic),Raw Trance,Subgenre,130,138,130-138,Minor (A/F# min),"8A, 11A",,,6,"Progressive House, Melodic Techno, Main-Floor Trance","Long blend, swap on the kick","Filter + Space - subtle, hypnotic movement","Echo, Reverb & Ping-Pong for long hypnotic tails","16 bars, hypnotic",Echo 1/1-2/1; Reverb,30-60%,In: intro. Out: breakdown or long outro,Med - some vocals; check,Low-Med - align on the drop,32 bars,32,"Functional beat/perc tool - steady, made to mix in",16,"Tension rising - added perc, filter sweep, anticipation",32,"Full groove locked - peak drive, hypnotic, floor engaged",16,"Stripped & suspended - bass out, atmosphere/tension holds",32,Winding down - elements strip back for the next mix,7-9 min,32-bar,"Intro (32 bars) -> hypnotic build -> subtle breakdown -> extended peak -> outro. Minimal, no big drop.",,,"Stripped, hypnotic modern trance - 90s revival, less polished","Deep supersaws, hypnotic plucks, modular pads, rolling bass","Stripped driving 4/4, offbeat bass, tight hats","Hypnotic minor riffs, subtle emotive melody","Long automation, dubby delays, restrained breakdowns, 90s-revival tone",Natural minor,Hypnotic i-VII vamp,"Juno, Virus, delays; Serum",Master ~-8 LUFS; long delays; mono sub,,,,,Trance (Raw/Deep),,,,,,
Trance (Raw / Deep / Hypnotic),Deep Trance,Subgenre,130,136,130-136,Minor (A/F# min),"8A, 11A",,,6,"Progressive House, Melodic Techno, Main-Floor Trance","Long blend, swap on the kick","Filter + Space - subtle, hypnotic movement","Echo, Reverb & Ping-Pong for long hypnotic tails","16 bars, hypnotic",Echo 1/1-2/1; Reverb,30-60%,In: intro. Out: breakdown or long outro,Med - some vocals; check,Low-Med - align on the drop,32 bars,32,"Functional beat/perc tool - steady, made to mix in",16,"Tension rising - added perc, filter sweep, anticipation",32,"Full groove locked - peak drive, hypnotic, floor engaged",16,"Stripped & suspended - bass out, atmosphere/tension holds",32,Winding down - elements strip back for the next mix,7-9 min,32-bar,"Intro (32 bars) -> hypnotic build -> subtle breakdown -> extended peak -> outro. Minimal, no big drop.",,,"Deep, emotive, atmospheric trance - understated and immersive","Deep supersaws, hypnotic plucks, modular pads, rolling bass","Stripped driving 4/4, offbeat bass, tight hats","Hypnotic minor riffs, subtle emotive melody","Long automation, dubby delays, restrained breakdowns, 90s-revival tone",Natural minor,Hypnotic i-VII vamp,"Juno, Virus, delays; Serum",Master ~-8 LUFS; long delays; mono sub,,,,,Trance (Raw/Deep),,,,,,
Trance (Raw / Deep / Hypnotic),Hypnotic Trance,Subgenre,130,138,130-138,Minor (A/F# min),"8A, 11A",,,6,"Progressive House, Melodic Techno, Main-Floor Trance","Long blend, swap on the kick","Filter + Space - subtle, hypnotic movement","Echo, Reverb & Ping-Pong for long hypnotic tails","16 bars, hypnotic",Echo 1/1-2/1; Reverb,30-60%,In: intro. Out: breakdown or long outro,Med - some vocals; check,Low-Med - align on the drop,32 bars,32,"Functional beat/perc tool - steady, made to mix in",16,"Tension rising - added perc, filter sweep, anticipation",32,"Full groove locked - peak drive, hypnotic, floor engaged",16,"Stripped & suspended - bass out, atmosphere/tension holds",32,Winding down - elements strip back for the next mix,7-9 min,32-bar,"Intro (32 bars) -> hypnotic build -> subtle breakdown -> extended peak -> outro. Minimal, no big drop.",,,"Repetitive, mesmerising trance built for a trance-like state","Deep supersaws, hypnotic plucks, modular pads, rolling bass","Stripped driving 4/4, offbeat bass, tight hats","Hypnotic minor riffs, subtle emotive melody","Long automation, dubby delays, restrained breakdowns, 90s-revival tone",Natural minor,Hypnotic i-VII vamp,"Juno, Virus, delays; Serum",Master ~-8 LUFS; long delays; mono sub,,,,,Trance (Raw/Deep),,,,,,
